startTime endTime activeAppName
 06:04:48PM on November 28, 2018 Terminal
06:04:48PM on November 28, 2018 06:04:55PM on November 28, 2018 PyCharm
06:04:55PM on November 28, 2018 06:05:28PM on November 28, 2018 Google Chrome
06:05:28PM on November 28, 2018 06:05:53PM on November 28, 2018 WeChat
06:05:53PM on November 28, 2018 06:07:30PM on November 28, 2018 Terminal
06:07:30PM on November 28, 2018 06:07:45PM on November 28, 2018 Google Chrome
06:07:45PM on November 28, 2018 06:08:10PM on November 28, 2018 PyCharm
06:08:10PM on November 28, 2018 06:09:49PM on November 28, 2018 Google Chrome
06:09:49PM on November 28, 2018 06:13:07PM on November 28, 2018 PyCharm
06:13:07PM on November 28, 2018 06:13:16PM on November 28, 2018 Google Chrome
06:13:16PM on November 28, 2018 06:14:01PM on November 28, 2018 PyCharm
06:14:01PM on November 28, 2018 06:14:50PM on November 28, 2018 Terminal
06:14:50PM on November 28, 2018 06:15:26PM on November 28, 2018 PyCharm
06:15:26PM on November 28, 2018 06:15:32PM on November 28, 2018 Terminal
06:15:32PM on November 28, 2018 06:15:41PM on November 28, 2018 PyCharm
06:15:41PM on November 28, 2018 06:15:47PM on November 28, 2018 Terminal
06:15:47PM on November 28, 2018 06:16:09PM on November 28, 2018 PyCharm
06:16:09PM on November 28, 2018 06:16:28PM on November 28, 2018 Terminal
06:16:28PM on November 28, 2018 06:16:38PM on November 28, 2018 PyCharm
06:16:38PM on November 28, 2018 06:16:42PM on November 28, 2018 Terminal
06:16:42PM on November 28, 2018 06:16:47PM on November 28, 2018 PyCharm
06:16:47PM on November 28, 2018 06:16:49PM on November 28, 2018 Terminal
06:16:49PM on November 28, 2018 06:16:58PM on November 28, 2018 PyCharm
06:16:58PM on November 28, 2018 06:17:00PM on November 28, 2018 Terminal
06:17:00PM on November 28, 2018 06:17:27PM on November 28, 2018 PyCharm
06:17:27PM on November 28, 2018 06:17:30PM on November 28, 2018 Terminal
06:17:30PM on November 28, 2018 06:17:34PM on November 28, 2018 UserNotificationCenter
06:17:34PM on November 28, 2018 06:17:37PM on November 28, 2018 PyCharm
06:17:37PM on November 28, 2018 06:17:39PM on November 28, 2018 Terminal
06:17:39PM on November 28, 2018 06:18:04PM on November 28, 2018 PyCharm
06:18:04PM on November 28, 2018 06:20:41PM on November 28, 2018 Google Chrome
06:20:41PM on November 28, 2018 06:20:45PM on November 28, 2018 PyCharm
06:20:45PM on November 28, 2018 06:21:06PM on November 28, 2018 Google Chrome
06:21:06PM on November 28, 2018 06:21:08PM on November 28, 2018 PyCharm
06:21:08PM on November 28, 2018 06:22:05PM on November 28, 2018 Google Chrome
06:22:05PM on November 28, 2018 06:22:12PM on November 28, 2018 PyCharm
06:22:12PM on November 28, 2018 06:22:35PM on November 28, 2018 Google Chrome
06:22:35PM on November 28, 2018 06:22:37PM on November 28, 2018 PyCharm
06:22:37PM on November 28, 2018 06:22:45PM on November 28, 2018 Terminal
06:22:45PM on November 28, 2018 06:23:02PM on November 28, 2018 PyCharm
06:23:02PM on November 28, 2018 06:23:25PM on November 28, 2018 Terminal
06:23:25PM on November 28, 2018 06:26:38PM on November 28, 2018 PyCharm
06:26:38PM on November 28, 2018 06:26:59PM on November 28, 2018 Terminal
06:26:59PM on November 28, 2018 06:27:02PM on November 28, 2018 PyCharm
06:27:02PM on November 28, 2018 06:27:31PM on November 28, 2018 Google Chrome
06:27:31PM on November 28, 2018 06:27:47PM on November 28, 2018 PyCharm
06:27:47PM on November 28, 2018 06:29:16PM on November 28, 2018 Terminal
06:29:16PM on November 28, 2018 06:29:33PM on November 28, 2018 PyCharm
06:29:33PM on November 28, 2018 06:35:03PM on November 28, 2018 Google Chrome
06:35:03PM on November 28, 2018 06:35:10PM on November 28, 2018 PyCharm
06:35:10PM on November 28, 2018 06:35:19PM on November 28, 2018 Terminal
06:35:19PM on November 28, 2018 06:37:27PM on November 28, 2018 Google Chrome
06:37:27PM on November 28, 2018 06:37:30PM on November 28, 2018 Terminal
06:37:30PM on November 28, 2018 06:37:38PM on November 28, 2018 PyCharm
06:37:38PM on November 28, 2018 06:37:47PM on November 28, 2018 Terminal
06:37:47PM on November 28, 2018 06:37:59PM on November 28, 2018 PyCharm
06:37:59PM on November 28, 2018 06:39:47PM on November 28, 2018 Terminal
06:39:47PM on November 28, 2018 06:39:52PM on November 28, 2018 Google Chrome
06:39:52PM on November 28, 2018 06:39:55PM on November 28, 2018 PyCharm
06:39:55PM on November 28, 2018 06:40:18PM on November 28, 2018 Terminal
06:40:18PM on November 28, 2018 06:40:20PM on November 28, 2018 Google Chrome
06:40:20PM on November 28, 2018 06:40:28PM on November 28, 2018 Terminal
06:40:28PM on November 28, 2018 06:44:31PM on November 28, 2018 Google Chrome
06:44:31PM on November 28, 2018 06:45:49PM on November 28, 2018 Terminal
06:45:49PM on November 28, 2018 06:46:39PM on November 28, 2018 PyCharm
06:46:39PM on November 28, 2018 06:46:42PM on November 28, 2018 Google Chrome
06:46:42PM on November 28, 2018 06:47:04PM on November 28, 2018 PyCharm
06:47:04PM on November 28, 2018 06:47:23PM on November 28, 2018 Google Chrome
06:47:23PM on November 28, 2018 06:47:38PM on November 28, 2018 PyCharm
06:47:38PM on November 28, 2018 06:48:15PM on November 28, 2018 Terminal
06:48:15PM on November 28, 2018 06:48:23PM on November 28, 2018 PyCharm
06:48:23PM on November 28, 2018 06:49:13PM on November 28, 2018 Terminal
06:49:13PM on November 28, 2018 06:49:55PM on November 28, 2018 PyCharm
06:49:55PM on November 28, 2018 06:50:07PM on November 28, 2018 Terminal
06:50:07PM on November 28, 2018 06:50:23PM on November 28, 2018 PyCharm
06:50:23PM on November 28, 2018 06:50:27PM on November 28, 2018 WeChat
06:50:27PM on November 28, 2018 06:50:34PM on November 28, 2018 PyCharm
06:50:34PM on November 28, 2018 06:50:49PM on November 28, 2018 Terminal
06:50:49PM on November 28, 2018 06:50:51PM on November 28, 2018 PyCharm
06:50:51PM on November 28, 2018 06:50:57PM on November 28, 2018 Terminal
06:50:57PM on November 28, 2018 06:56:25PM on November 28, 2018 PyCharm
06:56:25PM on November 28, 2018 06:56:37PM on November 28, 2018 Terminal
06:56:37PM on November 28, 2018 06:56:50PM on November 28, 2018 PyCharm
06:56:50PM on November 28, 2018 06:56:53PM on November 28, 2018 Terminal
06:56:53PM on November 28, 2018 06:56:57PM on November 28, 2018 PyCharm
06:56:57PM on November 28, 2018 06:57:00PM on November 28, 2018 Terminal
06:57:00PM on November 28, 2018 06:57:05PM on November 28, 2018 PyCharm
06:57:05PM on November 28, 2018 06:57:09PM on November 28, 2018 Terminal
06:57:09PM on November 28, 2018 06:57:16PM on November 28, 2018 PyCharm
06:57:16PM on November 28, 2018 06:57:18PM on November 28, 2018 Terminal
06:57:18PM on November 28, 2018 06:57:26PM on November 28, 2018 PyCharm
06:57:26PM on November 28, 2018 06:57:32PM on November 28, 2018 Terminal
06:57:32PM on November 28, 2018 06:57:51PM on November 28, 2018 PyCharm
06:57:51PM on November 28, 2018 06:57:53PM on November 28, 2018 Terminal
06:57:53PM on November 28, 2018 06:58:42PM on November 28, 2018 PyCharm
06:58:42PM on November 28, 2018 06:58:55PM on November 28, 2018 Terminal
06:58:55PM on November 28, 2018 06:59:13PM on November 28, 2018 PyCharm
06:59:13PM on November 28, 2018 06:59:14PM on November 28, 2018 Terminal
06:59:14PM on November 28, 2018 07:00:36PM on November 28, 2018 PyCharm
07:00:36PM on November 28, 2018 07:00:43PM on November 28, 2018 Terminal
07:00:43PM on November 28, 2018 07:01:01PM on November 28, 2018 PyCharm
07:01:01PM on November 28, 2018 07:01:06PM on November 28, 2018 Terminal
07:01:06PM on November 28, 2018 07:02:22PM on November 28, 2018 PyCharm
07:02:22PM on November 28, 2018 07:02:25PM on November 28, 2018 Terminal
07:02:25PM on November 28, 2018 07:02:53PM on November 28, 2018 PyCharm
07:02:53PM on November 28, 2018 07:03:02PM on November 28, 2018 Terminal
07:03:02PM on November 28, 2018 07:03:39PM on November 28, 2018 PyCharm
07:03:39PM on November 28, 2018 07:03:40PM on November 28, 2018 Terminal
07:03:40PM on November 28, 2018 07:04:39PM on November 28, 2018 PyCharm
07:04:39PM on November 28, 2018 07:04:50PM on November 28, 2018 Terminal
07:04:50PM on November 28, 2018 07:11:44PM on November 28, 2018 PyCharm
07:11:44PM on November 28, 2018 07:18:31PM on November 28, 2018 UserNotificationCenter
07:18:31PM on November 28, 2018 07:32:53PM on November 28, 2018 loginwindow
07:32:53PM on November 28, 2018 07:32:56PM on November 28, 2018 PyCharm
07:32:56PM on November 28, 2018 07:35:13PM on November 28, 2018 Google Chrome
07:35:13PM on November 28, 2018 07:35:32PM on November 28, 2018 WeChat
07:35:32PM on November 28, 2018 07:35:36PM on November 28, 2018 Google Chrome
07:35:36PM on November 28, 2018 07:35:38PM on November 28, 2018 WeChat
07:35:38PM on November 28, 2018 07:36:35PM on November 28, 2018 Google Chrome
07:36:35PM on November 28, 2018 07:36:49PM on November 28, 2018 WeChat
07:36:49PM on November 28, 2018 07:37:30PM on November 28, 2018 Google Chrome
